"date","time","country","age","n_group","n_manta","dive_level","is_first_time","pc","pick_n_divers","n_diver_A","n_diver_B","n_diver_C","n_diver_D","n_diver_E","n_diver_F","pick_n_boats","n_boats_A","n_boats_B","n_boats_C","n_boats_D","n_boats_E","n_boats_F","dc","diver_norms","boat_norms","date_time","obs_boat","boat_RE","diver_RE","fewer_boat_UL","more_boat_UL","fewer_boat_RE","more_boat_RE","fewer_diver_RE","more_diver_RE"
"09/18/2024","10:00","",NA,4,6,"Advanced Open Water Diver","Y",7,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-18 10:00:00",35,25,10,NA,NA,NA,NA,NA,NA
"09/18/2024","10:00","Indonesia",32,4,3,"Advanced Open Water Diver","N",4,3,1,0,0,-2,-3,-3,2,3,1,0,-3,-4,-4,"DC",5,25,"2024-09-18 10:00:00",35,15,6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"09/18/2024","11:00","France",32,4,3,"Advanced Open Water Diver","Y",6,3,4,3,1,-1,-2,-4,3,4,2,-1,-2,-3,-4,"DC",7,21.6666666666667,"2024-09-18 11:00:00",31,25,6,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/18/2024","11:00","France",35,4,2,"Advanced Open Water Diver","Y",6,3,NA,NA,0,NA,NA,NA,3,4,3,2,-3,-4,-4,"DC",NA,29,"2024-09-18 11:00:00",31,25,6,FALSE,TRUE,TRUE,FALSE,NA,NA
"09/18/2024","11:00","France",27,4,2,"Advanced Open Water Diver","Y",6,4,NA,NA,NA,1,NA,NA,3,NA,NA,0,NA,NA,NA,"DC",NA,NA,"2024-09-18 11:00:00",31,25,8,NA,NA,NA,NA,NA,NA
"09/18/2024","11:00","France",27,4,3,"Advanced Open Water Diver","Y",6,5,NA,NA,NA,NA,-2,NA,2,NA,0,NA,NA,NA,NA,"DC",NA,NA,"2024-09-18 11:00:00",31,15,10,NA,NA,NA,NA,NA,NA
"09/19/2024","8:00","France",27,8,10,"Try Scuba / DSD","Y",6,3,4,4,4,4,4,4,5,4,4,4,0,-2,-2,"Purple",NA,35,"2024-09-19 08:00:00",NA,45,6,NA,NA,FALSE,TRUE,NA,NA
"09/19/2024","09:00","Australia",28,3,3,"Open Water Diver","Y",NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-19 09:00:00",NA,25,2,NA,NA,NA,NA,NA,NA
"09/19/2024","09:00","Spain",36,2,6,"Professional Diver","Y",8,1,4,-4,-4,-4,-4,-4,5,4,2,-1,-2,-3,-4,"BFD",5,21.6666666666667,"2024-09-19 09:00:00",NA,45,2,NA,NA,FALSE,TRUE,TRUE,FALSE
"09/19/2024","9:30","France",25,8,4,"Open Water Diver","Y",8,3,-4,-3,-1,-2,-3,-4,4,-4,-3,-2,-1,-4,-4,"Purple",0,-5,"2024-09-19 09:30:00",NA,35,6,NA,NA,FALSE,TRUE,FALSE,TRUE
"9/19/2024","11:00","United Kingdom",66,5,6,"Rescue Diver","N",7,3,0,-1,-1,-3,-1,-2,5,0,0,0,0,-3,-3,"SJP",2,20,"2024-09-19 11:00:00",NA,45,6,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/20/2024","9:30","Australia",34,6,5,"Rescue Diver","Y",9,5,4,4,-2,-3,-4,-4,6,4,3,1,-4,-4,-4,"BC",5,29,"2024-09-20 09:30:00",40,55,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/20/2024","9:35","Australia",39,6,5,"Advanced Open Water Diver","Y",8,4,4,3,0,-2,-4,-4,4,3,-1,-4,-4,-4,-4,"BC",6,12.5,"2024-09-20 09:35:00",40,35,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/21/2024","08:00","France",29,4,2,"Open Water Diver","Y",NA,3,NA,NA,-1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,"DC",NA,NA,"2024-09-21 08:00:00",53,35,6,NA,NA,NA,NA,NA,NA
"09/21/2024","08:00","Brazil",51,5,5,"Open Water Diver","Y",NA,3,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,-1,NA,"DC",NA,NA,"2024-09-21 08:00:00",53,45,6,NA,NA,NA,NA,NA,NA
"09/21/2024","08:00","France",31,4,2,"Advanced Open Water Diver","Y",NA,5,4,3,1,-3,-4,-4,5,4,4,4,-4,-4,-4,"DC",6.5,30,"2024-09-21 08:00:00",53,45,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/21/2024","08:00","Germany",28,8,5,"Try Scuba / DSD","Y",3,NA,NA,0,NA,NA,NA,NA,3,NA,NA,-2,NA,NA,NA,"DC",NA,NA,"2024-09-21 08:00:00",53,25,NA,NA,NA,NA,NA,NA,NA
"09/21/2024","08:30","France",NA,NA,5,"Advanced Open Water Diver","Y",NA,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-21 08:30:00",53,35,12,NA,NA,NA,NA,NA,NA
"09/21/2024","08:30","France",32,4,6,"Rescue Diver","N",NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-21 08:30:00",53,45,10,NA,NA,NA,NA,NA,NA
"09/21/2024","09:00","France",33,4,2,"Advanced Open Water Diver","Y",NA,5,4,3,-2,-3,-4,-4,5,4,4,3,-1,-3,-4,"DC",5.2,32.5,"2024-09-21 09:00:00",53,45,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/21/2024","09:00","Australia",33,3,2,"Rescue Diver","N",NA,5,NA,NA,NA,NA,-3,NA,6,NA,NA,NA,NA,NA,-4,"DC",NA,NA,"2024-09-21 09:00:00",53,55,10,NA,NA,NA,NA,NA,NA
